[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]
[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 134, 138), (0, 134, 138), (0, 134, 138), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]
[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 131, 135), (10, 138, 142), (7, 137, 141), (0, 131, 135), (0, 134, 138), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]
[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 129, 133), (7, 137, 141), (0, 131, 135), (0, 131, 135), (7, 137, 141), (0, 134, 138), (0, 131, 135), (0, 132, 136), (0, 0, 0), (0, 131, 135), (7, 137, 141), (0, 0, 0), (0, 0, 0)]
[(0, 0, 0), (0, 0, 0), (0, 129, 133), (0, 132, 136), (10, 138, 142), (13, 139, 143), (7, 137, 141), (0, 131, 135), (7, 137, 141), (7, 137, 141), (0, 131, 135), (0, 129, 133), (0, 131, 135), (0, 132, 136), (0, 134, 138), (0, 0, 0)]
[(0, 0, 0), (0, 0, 0), (0, 134, 138), (0, 145, 148), (0, 131, 135), (5, 152, 154), (0, 131, 135), (10, 138, 142), (0, 134, 138), (19, 141, 145), (7, 137, 141), (0, 129, 133), (0, 132, 136), (13, 139, 143), (0, 129, 133), (0, 0, 0)]
[(0, 0, 0), (0, 0, 0), (0, 134, 138), (0, 134, 138), (0, 132, 136), (0, 131, 135), (0, 134, 138), (0, 148, 151), (0, 145, 148), (0, 134, 138), (0, 134, 138), (0, 131, 135), (10, 138, 142), (19, 141, 145), (0, 129, 133), (0, 0, 0)]
[(0, 0, 0), (0, 131, 135), (0, 134, 138), (7, 137, 141), (0, 143, 146), (13, 139, 143), (16, 140, 144), (0, 134, 138), (0, 155, 163), (0, 134, 138), (0, 158, 166), (0, 145, 148), (19, 141, 145), (19, 141, 145), (0, 131, 135), (0, 0, 0)]
[(0, 0, 0), (0, 143, 146), (0, 131, 135), (0, 134, 138), (0, 134, 138), (0, 134, 138), (0, 132, 136), (16, 140, 144), (0, 134, 138), (0, 134, 138), (10, 138, 142), (7, 137, 141), (5, 152, 154), (5, 152, 154), (0, 143, 146), (13, 139, 143)]
[(0, 0, 0), (16, 140, 144), (0, 131, 135), (16, 140, 144), (0, 145, 148), (16, 140, 144), (10, 138, 142), (0, 145, 148), (0, 131, 135), (16, 140, 144), (0, 134, 138), (0, 145, 148), (0, 143, 146), (0, 134, 138), (0, 132, 136), (0, 143, 146)]
[(5, 152, 154), (9, 153, 155), (0, 132, 136), (0, 131, 135), (0, 131, 135), (0, 132, 136), (0, 145, 148), (0, 180, 185), (0, 202, 206), (0, 150, 152), (0, 145, 148), (0, 187, 193), (5, 175, 182), (0, 168, 175), (0, 199, 203), (19, 141, 145)]
[(0, 131, 135), (0, 134, 138), (7, 137, 141), (0, 134, 138), (0, 145, 148), (16, 209, 213), (253, 255, 252), (138, 251, 253), (253, 255, 252), (0, 202, 206), (0, 158, 166), (5, 152, 154), (0, 166, 172), (16, 209, 213), (46, 220, 224), (16, 140, 144)]
[(7, 160, 168), (0, 134, 138), (43, 219, 223), (242, 254, 255), (78, 241, 244), (103, 247, 252), (253, 255, 252), (253, 255, 252), (253, 255, 252), (253, 255, 252), (0, 180, 185), (0, 158, 166), (13, 139, 143), (28, 197, 202), (0, 202, 206), (0, 134, 138)]
[(7, 137, 141), (5, 152, 154), (24, 196, 201), (33, 215, 219), (68, 234, 238), (253, 255, 252), (253, 255, 252), (253, 255, 252), (253, 255, 252), (3, 232, 240), (0, 180, 185), (0, 166, 172), (0, 168, 175), (215, 255, 255), (0, 202, 206), (0, 150, 152)]
[(0, 148, 151), (0, 168, 175), (46, 220, 224), (0, 166, 172), (28, 197, 202), (0, 229, 237), (68, 234, 238), (66, 233, 237), (78, 241, 244), (0, 168, 175), (0, 150, 152), (0, 199, 203), (253, 255, 252), (253, 255, 252), (0, 199, 203), (0, 169, 176)]
[(0, 179, 184), (21, 195, 200), (253, 255, 252), (253, 255, 252), (78, 241, 244), (150, 252, 255), (33, 215, 219), (253, 255, 252), (4, 207, 211), (253, 255, 252), (222, 253, 255), (17, 194, 199), (242, 254, 255), (253, 255, 252), (118, 248, 255), (0, 200, 204)]
